76,31,-45,-53,60,-7,,,,,,
55,31,-24,-43,39,3,,,,,,
30,27,-3,-28,16,12,,,,,,
8,17,9,-13,-1,13,,,,,,
-9,8,17,0,-13,12,,,,,,
-18,1,19,8,-19,10,,,,,,
-22,-4,18,13,-20,7,,,,,,
-23,-7,16,15,-19,4,,,,,,
-27,-14,13,20,-20,0,,,,,,
-27,-20,7,23,-17,-6,,,,,,
-28,-27,1,27,-14,-13,,,,,,
-26,-26,0,26,-13,-13,,,,,,
-25,-27,-2,26,-11,-14,,,,,,
-26,-30,-4,28,-11,-17,,,,,,
-27,-30,-3,29,-12,-16,,,,,,
-27,-28,-1,28,-13,-14,,,,,,
-28,-29,-1,29,-13,-15,,,,,,
-29,-29,0,29,-14,-14,,,,,,
-29,-28,1,28,-15,-13,,,,,,
-31,-31,0,31,-15,-15,,,,,,
-32,-33,-1,33,-15,-17,,,,,,
-32,-34,-2,33,-15,-18,,,,,,
-38,-41,-3,40,-17,-22,,,,,,
-45,-49,-4,47,-20,-26,,,,,,
-49,-53,-4,51,-22,-28,,,,,,
-50,-56,-6,53,-22,-31,,,,,,
-52,-60,-8,56,-22,-34,,,,,,
-44,-51,-7,48,-18,-29,,,,,,
-43,-49,-6,46,-18,-27,,,,,,
-50,-55,-5,53,-22,-30,,,,,,
-47,-52,-5,50,-21,-28,,,,,,
-43,-48,-5,46,-19,-26,,,,,,
-48,-53,-5,51,-21,-29,,,,,,
-50,-54,-4,52,-23,-29,,,,,,
-49,-51,-2,50,-23,-26,,,,,,
-47,-49,-2,48,-22,-25,,,,,,
-46,-48,-2,47,-22,-25,,,,,,
-50,-51,-1,51,-24,-26,,,,,,
-52,-52,0,52,-26,-26,,,,,,
-53,-52,1,52,-27,-25,,,,,,
-53,-54,-1,54,-26,-27,,,,,,
-52,-55,-3,54,-24,-29,,,,,,
-52,-57,-5,55,-23,-31,,,,,,
-53,-58,-5,56,-24,-31,,,,,,
-54,-59,-5,57,-24,-32,,,,,,
-57,-60,-3,59,-27,-31,,,,,,
-57,-60,-3,59,-27,-31,,,,,,
-57,-60,-3,59,-27,-31,,,,,,
-55,-58,-3,57,-26,-30,,,,,,
-53,-56,-3,55,-25,-29,,,,,,
-51,-53,-2,52,-24,-27,,,,,,
-51,-52,-1,52,-25,-26,,,,,,
-51,-52,-1,52,-25,-26,,,,,,
-52,-52,0,52,-26,-26,,,,,,
-53,-54,-1,54,-26,-27,,,,,,
-53,-55,-2,54,-25,-28,,,,,,
-55,-54,1,54,-28,-26,,,,,,
-55,-54,1,54,-28,-26,,,,,,
-52,-53,-1,53,-25,-27,,,,,,
-51,-54,-3,53,-24,-28,,,,,,
-51,-56,-5,54,-23,-30,,,,,,
-51,-57,-6,54,-22,-31,,,,,,
-54,-60,-6,57,-24,-33,,,,,,
-56,-61,-5,59,-25,-33,,,,,,
-55,-58,-3,57,-26,-30,,,,,,
-55,-57,-2,56,-26,-29,,,,,,
-57,-59,-2,58,-27,-30,,,,,,
-57,-58,-1,58,-28,-29,,,,,,
-57,-57,0,57,-28,-28,,,,,,
-55,-55,0,55,-27,-27,,,,,,
-55,-55,0,55,-27,-27,,,,,,
-55,-55,0,55,-27,-27,,,,,,
-53,-55,-2,54,-25,-28,,,,,,
-51,-54,-3,53,-24,-28,,,,,,
-48,-52,-4,50,-22,-28,,,,,,
-51,-55,-4,53,-23,-29,,,,,,
-53,-57,-4,55,-24,-30,,,,,,
-55,-60,-5,58,-25,-32,,,,,,
-55,-59,-4,57,-25,-31,,,,,,
-54,-56,-2,55,-26,-29,,,,,,
-54,-58,-4,56,-25,-31,,,,,,
-53,-57,-4,55,-24,-30,,,,,,
-51,-54,-3,53,-24,-28,,,,,,
-52,-52,0,52,-26,-26,,,,,,
-52,-51,1,51,-26,-25,,,,,,
-48,-49,-1,49,-23,-25,,,,,,
-51,-50,1,50,-26,-24,,,,,,
-53,-51,2,52,-27,-24,,,,,,
-54,-53,1,53,-27,-26,,,,,,
-54,-55,-1,55,-26,-28,,,,,,
-54,-56,-2,55,-26,-29,,,,,,
-55,-57,-2,56,-26,-29,,,,,,
-57,-59,-2,58,-27,-30,,,,,,
-61,-64,-3,63,-29,-33,,,,,,
-62,-65,-3,64,-29,-34,,,,,,
-61,-64,-3,63,-29,-33,,,,,,
-59,-60,-1,60,-29,-30,,,,,,
-51,-51,0,51,-25,-25,,,,,,
-40,-39,1,39,-20,-19,,,,,,
-43,-42,1,42,-22,-20,,,,,,
-46,-44,2,45,-24,-21,,,,,,
-47,-43,4,45,-25,-19,,,,,,
-48,-45,3,46,-25,-21,,,,,,
-49,-47,2,48,-25,-22,,,,,,
-51,-49,2,50,-26,-23,,,,,,
-50,-49,1,49,-25,-24,,,,,,
-48,-49,-1,49,-23,-25,,,,,,
-48,-48,0,48,-24,-24,,,,,,
-48,-49,-1,49,-23,-25,,,,,,
-50,-52,-2,51,-24,-27,,,,,,
-50,-51,-1,51,-24,-26,,,,,,
-49,-49,0,49,-24,-24,,,,,,
-52,-50,2,51,-27,-24,,,,,,
-53,-51,2,52,-27,-24,,,,,,
-54,-53,1,53,-27,-26,,,,,,
-54,-51,3,52,-28,-24,,,,,,
-54,-50,4,52,-29,-23,,,,,,
-56,-51,5,53,-30,-23,,,,,,
-55,-50,5,52,-30,-22,,,,,,
-52,-47,5,49,-28,-21,,,,,,
-48,-43,5,45,-26,-19,,,,,,
-44,-41,3,42,-23,-19,,,,,,
-42,-42,0,42,-21,-21,,,,,,
-48,-47,1,47,-24,-23,,,,,,
-51,-50,1,50,-26,-24,,,,,,
-52,-51,1,51,-26,-25,,,,,,
-50,-49,1,49,-25,-24,,,,,,
-47,-46,1,46,-24,-22,,,,,,
